station,state,country,wban
ARCATA EUREKA AIRPORT,CA,US,24283
ARLINGTON MUNICIPAL AIRPORT,WA,US,4205
ASTORIA AIRPORT PORT OF,OR,US,94224
AVALON CATALINA AIRPORT,CA,US,23191
BELLINGHAM INTERNATIONAL AIRPORT,WA,US,24217
BODEGA 6 WSW,CA,US,93245
BREMERTON,WA,US,94263
BROOKINGS STATE AIRPORT,OR,US,24267
BURLINGTON SKAGIT REGIONAL BAYVIEW AIRPORT,WA,US,94282
CAMARILLO AIRPORT,CA,US,23136
CAMP PENDLETON MCAS,CA,US,3154
CARLSBAD MCCLELLAN PALOMAR AIRPORT,CA,US,3177
CONCORD BUCHANAN FIELD,CA,US,23254
COOS BAY 8 SW,OR,US,4141
COUPEVILLE NOLF,WA,US,94297
CRESCENT CITY MCNAMARA AIRPORT,CA,US,24286
EASTSOUND ORCAS ISLAND AIRPORT,WA,US,4224
EUREKA WEATHER FORECAST OFFICE WOODLEY ISLAND,CA,US,24213
EVERETT SNOHOMISH CO AIRPORT,WA,US,24222
FALLBROOK 5 NE,CA,US,53151
FRIDAY HARBOR AIRPORT,WA,US,94276
GILLESPIE FIELD AIRPORT,CA,US,53143
GNOSS FIELD AIRPORT,CA,US,135
GRAY ARMY AIR FIELD,WA,US,24201
HALF MOON BAY AIRPORT,CA,US,228
HAWTHORNE MUNICIPAL AIRPORT,CA,US,3167
HAYWARD AIR TERMINAL,CA,US,93228
HOLLISTER MUNICIPAL AIRPORT,CA,US,392
HOQUIAM BOWERMAN AIRPORT,WA,US,94225
IMPERIAL BEACH REAM FIELD NAS,CA,US,93115
KELSO SOUTHWEST REGIONAL AIRPORT,WA,US,24223
LIVERMORE MUNICIPAL AIRPORT,CA,US,23285
LOMPOC AIRPORT,CA,US,23243
LONG BEACH DAUGHERTY AIRPORT,CA,US,23129
LOS ALAMITOS ARMY AIR FIELD,CA,US,53141
LOS ANGELES INTERNATIONAL AIRPORT,CA,US,23174
MCOLF CAMP PENDLETON RED BEACH AIRPORT,CA,US,369
MOFFETT FEDERAL AIRFIELD,CA,US,23244
MONTEREY PENINSUL AIRPORT,CA,US,23259
NAPA CO AIRPORT,CA,US,93227
NEWPORT MUNICIPAL AIRPORT,OR,US,24285
NORTH BEND SOUTHWEST OREGON REGIONAL AIRPORT,OR,US,24284
NORTH ISLAND NAS,CA,US,93112
OAKLAND METROPOLITAN INTERNATIONAL AIRPORT,CA,US,23230
OCEANSIDE MUNICIPAL AIRPORT,CA,US,53121
OLYMPIA AIRPORT,WA,US,24227
OXNARD VENTURA CO AIRPORT,CA,US,93110
PALO ALTO,CA,US,23289
PASO ROBLES MUNICIPAL AIRPORT,CA,US,93209
PETALUMA MUNICIPAL AIRPORT,CA,US,320
POINT MUGU NF,CA,US,93111
PORT ANGELES FAIRCHILD INTERNATIONAL AIRPORT,WA,US,94266
PORTLAND HILLSBORO AIRPORT,OR,US,94261
PORTLAND INTERNATIONAL AIRPORT,OR,US,24229
PORTLAND TROUTDALE AIRPORT,OR,US,24242
QUILLAYUTE STATE AIRPORT,WA,US,94240
QUINAULT 4 NE,WA,US,4237
RAMONA AIRPORT,CA,US,53120
RENTON MUNICIPAL AIRPORT,WA,US,94248
ROHNERVILLE AIRPORT,CA,US,396
SALINAS AIRPORT,CA,US,23233
SAN CARLOS AIRPORT,CA,US,93231
SAN CLEMENTE ISLAND NAAS,CA,US,93117
SAN DIEGO BROWN FIELD,CA,US,3178
SAN DIEGO INTERNATIONAL AIRPORT,CA,US,23188
SAN DIEGO MIRAMAR NAS,CA,US,93107
SAN DIEGO MONTGOMERY FIELD,CA,US,3131
SAN FRANCISCO DOWNTOWN,CA,US,23272
SAN FRANCISCO INTERNATIONAL AIRPORT,CA,US,23234
SAN JOSE,CA,US,23293
SAN JOSE REID HILLVIEW AIRPORT,CA,US,93232
SAN LUIS OBISPO MCCHESNEY FIELD,CA,US,93206
SAN NICOLAS ISLAND,CA,US,93116
SANTA ANA JOHN WAYNE AIRPORT,CA,US,93184
SANTA BARBARA 11 W,CA,US,53152
SANTA BARBARA MUNICIPAL AIRPORT,CA,US,23190
SANTA MARIA PUBLIC AIRPORT,CA,US,23273
SANTA MONICA MUNICIPAL AIRPORT,CA,US,93197
SANTA ROSA SONOMA CO AIRPORT,CA,US,23213
SANTA YNEZ AIRPORT,CA,US,93244
SCAPPOOSE INDUSTRIAL AIRPORT,OR,US,4201
SEATTLE BOEING FIELD,WA,US,24234
SEATTLE SAND POINT WEATHER FORECAST OFFICE,WA,US,94290
SEATTLE TACOMA INTERNATIONAL AIRPORT,WA,US,24233
SHELTON SANDERSON FIELD,WA,US,94227
SOUTH CO AIRPORT OF SANTA CLARA CO,CA,US,395
TACOMA MCCHORD AFB,WA,US,24207
TACOMA NARROWS AIRPORT,WA,US,94274
TILLAMOOK AIRPORT,OR,US,118
TORRANCE,CA,US,3174
TRAVIS FIELD AFB,CA,US,23202
UKIAH MUNICIPAL AIRPORT,CA,US,23275
VACAVILLE NUT TREE AIRPORT,CA,US,93241
VANCOUVER PEARSON AIRPORT,WA,US,94298
VANDENBERG AFB,CA,US,93214
WATSONVILLE MUNICIPAL AIRPORT,CA,US,23277
WHIDBEY ISLAND NAS,WA,US,24255
